review,sentimen
karna gaada fitur tanda ketikan,netral
apk nya bagus ngabarin keluargabuat pacranbuat pentungan pokonya apk debess,positif
menemukan best friend,netral
oke,netral
ok trimksih wa,netral
tolong tampilan story nya menurun mendatar efisien tampilan yg skrg,netral
ok,netral
bagus banget,positif
jelasada aturan aplikasi blokir spamsemakin parah,negatif
bagus cepat tanggap,positif
terbaikkk,positif
uninstall aja lemot pas wa mala sinyal bagus spek hp myn bgs,positif
bug pencet kagak muncul gerak layar ketik byk yg hrs perbaiki aplikasi burik,netral
kirim video burem anjir udah hd in jga,netral
keren whatsaap mohon hilangkan virtex ddos,netral
gabisa download bjir,netral
ok,netral
bagus dipakai,positif
,netral
bagussss,positif
tolong wa biar angkat otomatis panggilan orang angkat panggilan intercom biar gampang,netral
apk eror 5 detik masuk apk tolong diperbaiki,netral
updaten terbarunya,netral
wa spam 5 bintang,netral
fitur nya keren,netral
wa versi kali menyusahkan buka appnya 5 sd 10 detik langsung auto close app sesingkat mengidentifikasi kesalahannya menghapus chat pesan yg masuk terlambat dibuka bbrp detik app langsung auto closed rumit chat dgn konsumen device backup,netral
meta ainya gmn,netral
ya gitu,netral
semoga sukses,netral
bgus,netral
membantu,netral
aplikasi berengsek no yg diblokir masuk bagus yg yg sampah,positif
notip nya gk min tolong koreksi lagii update annya,netral
whatsapp blokir kesalahan apapun whatsapp kuntuk,netral
basaha inggris hapus chat,netral
terbaik,positif
tag grup sw,netral
bagusss,positif
puisi mantap banget nomor 1 tuh ngechat telepon orang ya pokoknya kalimantan jakarta menelpon,positif
enak karna komunikasi teman,netral
vn error tibatiba hp mati suara mengecil,netral
kurangi bugnya kirim chat udah sejam ga kekirim jaringan bagus buka aplikasi jga,positif
suka apk suka apk kalo spam tuh kayak langsung tulisan akun spam pliss donk bikin aturan kayak gitu kalo udah diupdate ku kasih bintang ok,netral
bagus,positif
apk,netral
whatshap kirim gambar fototidak lancar ya terkena spam,netral
versi jelek karna klo tlpon gx mw muncul layar,negatif
update terbaru yg chatnya ganti warna tolong whats app pengguna vivo diadakan blum kmren,netral
sangatt bagus,positif
lelet,netral
ga njir,netral
p kenapaa haruss adaa fitur liat sih sattttt fiturr gagunaa anyengg hapuss aee blokk,netral
wa tautkan perangkat tolong bantu,netral
bagus sih mari pakai aplikasi,positif
menunjang informasi dri whatsapp trima kasih whatsapp,netral
download,netral
nyaman oke,netral
siiip,netral
ok bagus,positif
whatsapp e dendam nde pdhl ga sala op2,netral
,netral
mengirim foto susa,netral
ok,netral
bagus,positif
mantap menn,positif
bagus telpon chat status org semonga aplikasi berguna org,positif
bisaa berwarnan ga tag grubb woii,netral
mantap,positif
updatenya bagus tolong kali akunku login stiker mengirimnya garagara ya,positif
baguss,positif
sesuai,netral
suka,netral
wa blokir spam nomer wa gak aneh2 tolong bikin ribet kacau wa,netral
kerentapi bgtt lod ya,netral
wa nya baguss update fitur nya bagus tpi kasih bintang 3 aja ya klo telpon suka mati sinyal nya bagus lwn bicara bagus sinyal nya tpi mati kadang aja telepon 2 menit udah mati,positif
oke,netral
pindah wa hp kode verifikasi g udh suruh nunggu 7 jam ulang tetep g nunggu lagu 7 jam g eh nunggu 13 ulang gimana yahada solusi udah coba tetep aja samapadahal kartu aktif,netral
ok,netral
bermanfaat,netral
mantap kali y,positif
kadang error media foto vidio,netral
halo membutuhkan fitur meta ai kebutuhan mohon bantuannya memunculkan fitur meta ai whatsapp tersedia update versi terbaruterimakasih,netral
what up membantu aktivitasku,netral
bagus sial nyahh ga filter pas vcc gada filternya poto,positif
mantap,positif
gimana ea kalou batal kirim nya gitu,netral
,netral
error ngirim chat,netral
bagus,positif
apk nya bagus pokok nya bagus banget,positif
bagus,positif
gk whatsapp an,netral
bgus krena watsapp versi resmi,netral
oke,netral
wa yg error developer nya yg lupa naro meta ai acc mohon kasih meta ai membutuhkan nya,netral
baguss,positif
,netral
whatsapp sistem verifikasinya gajeampe nunggu 8 jam,netral
membantu,netral
bagus,positif
suka,netral
mengatasi kena spam gimana ya kena spam wa kasih tau alasan nya kena spam,netral
