content,score
Apk eror baru 5 detik masuk tiba tiba keluar dari apk. Tolong diperbaiki,3
kenapa di saya updaten terbarunya tidak ada,2
Wa saya jangan di spam lagi Makanya saya beri 5 bintang,5
fitur nya keren,5
"Entah mengapa, WA di versi kali ini sangat menyusahkan. Setiap saya buka app-nya, dalam waktu sekitar 5 s.d. 10 detik kemudian, langsung auto close app. Dalam waktu sesingkat itu, saya tidak bisa mengidentifikasi apa kesalahannya. Saya tidak bisa menghapus chat karena tidak sempat. Setiap pesan yg masuk juga sangat terlambat dan ketika dibuka, bbrp detik kemudian app langsung auto closed. Semua jadi rumit karena semua chat dgn konsumen ada di device ini saja, tidak ada backup.",1
Cara ada meta ainya gmn,5
ya gitu,5
Semoga sukses,4
bgus,5
Membantu,5
"Aplikasi berengsek, masa no yg diblokir bisa melihat. Bisa masuk. Bagus yg dulu, yg sekarang bisa jadi sampah",1
Notip nya GK keluar min tolong di koreksi lagii update annya,1
Kenapa WhatsApp saya selalu di blokir padahal saya tidak melakukan kesalahan apapun dan ini WhatsApp saya sangat penting kuntuk bekerja,1
Kenapa basaha inggris di sa'at mau hapus chat?,5
Terbaik,5
tidak bisa tag grup di sw,2
bagusss,5
Puisi mantap banget nomor 1 soalnya ini tuh kita bisa nge-chat telepon sama orang yang jauh atau yang dekat yang jauh ya pokoknya di Kalimantan di Jakarta dia tidak bisa menelpon sama dia soal,5
Enak karna bisa komunikasi dengan teman,5
vn sering error. tiba-tiba hp mati dan suara mengecil menjadi sangat kecil.,1
kurangi bugnya masa aku mau kirim chat udah sejam ga kekirim' padahal jaringan bagus buka aplikasi lain jga bisa,2
"Saya suka sama apk ini tapi yang saya tidak suka sama apk ini itu karena,, misalnya kalo kita spam tuh kayak langsung keluar tulisan akun ini tidak dapat digunakan karena spam pliss donk jangan bikin aturan kayak gitu,,. Nanti kalo udah diupdate bakal ku kasih bintang lima ⭐⭐⭐⭐⭐ ok.",5
Bagus,4
Keluar terus dari apk,3
Kenapa di whatshap saya untuk kirim gambar foto.tidak lancar ya Dan sekarang sering terkena SPAM..,4
"Versi baru jelek, di karna klo ada tlpon gx mw muncul di layar",1
"SAYA KOK BELUM ADA UPDATE TERBARU? yg chatnya bisa ganti warna? Tolong what's app, Untuk pengguna Vivo Diadakan. saya blum ada Dari tahun kmren 🙏🏻",4
Sangatt bagus,5
Lelet,5
Kok ga bisa njir,5
P kenapaa haruss adaa fitur sekali liat sih sattttt fiturr gagunaa anyengg hapuss aee blokk,4
Kenapa wa saya tidak bisa tautkan perangkat??? Tolong bantu dong,5
Sangat bagus sekali sih kata aku mari pakai aplikasi ini,5
sangat menunjang informasi dri WhatsApp trima kasih WhatsApp,5
Tidak bisa di download,3
Nyaman oke,3
Siiip,4
Ok sangat bagus,5
WhatsApp e dendam nde aku pdhl aku ga sala op2,1
Sangat baik,5
Untuk mengirim foto susa,2
Ok,5
bagus,1
mantap menn,5
